application,tx_id,currency,account,asset,ticker,type,crypto_amount,fiat_amount,comission_amount,note,date,time
MEXC,3bcba5f2ad12458bbc44ff36c83f2b3d,USD,USD,ONDO,ONDO,Buy,102.99,25.2243108,0.0,,2024-02-11,20:52:09
MEXC,aa4d2ec374654261b1767bde58cbf639,USD,USD,USDT,USDT,Sell,9.715,9.715,0.0,,2024-02-25,19:36:08
MEXC,aa4d2ec374654261b1767bde58cbf639,USD,USD,BNB,BNB,Buy,0.025,9.715,0.0,,2024-02-25,19:36:08
MEXC,246a7649e780445c8f3fdc55df632d18,USD,USD,USDT,USDT,Sell,199.157,199.157,0.0,,2024-03-01,18:08:33
MEXC,246a7649e780445c8f3fdc55df632d18,USD,USD,QNT,QNT,Buy,1.61,199.157,0.0,,2024-03-01,18:08:33
MEXC,e0c919cd9d614efc9471bcd5af89e661,USD,USD,RVF,RVF,Sell,36.28,21.768,0.0,,2024-03-12,18:09:25
MEXC,e0c919cd9d614efc9471bcd5af89e661,USD,USD,USDT,USDT,Buy,21.768,21.768,0.0,,2024-03-12,18:09:25
MEXC,9ab1542acbcf4dcaaef943d9487b9134,USD,USD,RVF,RVF,Sell,92.24,55.1890368,0.0,,2024-03-12,18:09:25
MEXC,9ab1542acbcf4dcaaef943d9487b9134,USD,USD,USDT,USDT,Buy,55.1890368,55.1890368,0.0,,2024-03-12,18:09:25
MEXC,6eca9ed452b644ddae2163be5ae9ed00,USD,USD,RVF,RVF,Sell,21.8,13.045556,0.0,,2024-03-12,18:09:25
MEXC,6eca9ed452b644ddae2163be5ae9ed00,USD,USD,USDT,USDT,Buy,13.045556,13.045556,0.0,,2024-03-12,18:09:25
MEXC,6331ec34be644c6f9ec4ee5a55b8e21c,USD,USD,RVF,RVF,Sell,8.38,5.0233072,0.0,,2024-03-12,18:09:25
MEXC,6331ec34be644c6f9ec4ee5a55b8e21c,USD,USD,USDT,USDT,Buy,5.0233072,5.0233072,0.0,,2024-03-12,18:09:25
MEXC,5e3f84e38a2e4b5ca68354c6eb3dfd17,USD,USD,RVF,RVF,Sell,99.85,59.8351125,0.0,,2024-03-12,18:09:25
MEXC,5e3f84e38a2e4b5ca68354c6eb3dfd17,USD,USD,USDT,USDT,Buy,59.8351125,59.8351125,0.0,,2024-03-12,18:09:25
MEXC,5c668fa10bd04bb789058b6fb5acbb87,USD,USD,RVF,RVF,Sell,21.17,12.6497101,0.0,,2024-03-12,18:09:25
MEXC,5c668fa10bd04bb789058b6fb5acbb87,USD,USD,USDT,USDT,Buy,12.6497101,12.6497101,0.0,,2024-03-12,18:09:25
MEXC,manuell01,USD,USD,USDT,USDT,Sell,50.84131,50.84131,0.0,,2024-02-02,09:51:59
MEXC,manuell01,USD,USD,MINA,MINA,Buy,40.82,50.84131,0.0,,2024-02-02,09:51:59
Coinbase,21c9e2d9-aa5f-56fc-8269-f26ffcf63ac6,USD,USD,USDT,USDT,Buy,47.174876,46.15,0.0,,2024-02-02,18:30:01
Coinbase,69996204-8a4f-54bc-a78e-63fad0c9be8f,USD,USD,GRT,GRT,Buy,6.30517023,0.01,0.0,,2024-01-28,17:54:30
Coinbase,b143466c-7aaf-55ae-b145-55408c342d8d,USD,USD,GRT,GRT,Buy,6.30914826,0.01,0.0,,2024-01-28,17:53:54
Coinbase,97b2c332-67dd-584c-9bbe-e63dd798c873,USD,USD,GRT,GRT,Buy,6.3031831,0.01,0.0,,2024-01-28,17:53:26
Coinbase,6333d1e3-0c83-5abe-b449-314bde8de809,USD,USD,GRT,GRT,Buy,6.31313131,0.01,0.0,,2024-01-28,17:52:53
Coinbase,579855a8-a8c2-5c33-b713-569e2c89e8d0,USD,USD,SUI,SUI,Sell,39.41976778,45.48,0.0,,2024-01-28,20:09:40
Coinbase,a7397505-f064-587a-8379-9a69d0ecaf29,USD,USD,ETH,ETH,Buy,0.45436441,1000.0,0.0,,2024-01-28,13:17:45
Coinbase,6aa6063f-f2cd-5b27-bf45-5d2511ff6759,USD,USD,BTC,BTC,Buy,0.04353613,250.0,0.0,,2020-03-30,05:44:34
Coinbase,ca6ae460-0a3d-5aa8-8f87-c7e21a52980e,USD,USD,BTC,BTC,Buy,0.04025953,250.0,0.0,,2020-03-25,21:45:33
Coinbase,7724b569-6acf-507d-9852-e9a6515f4143,USD,USD,BTC,BTC,Buy,0.0211727,139.0,0.0,,2020-03-20,10:36:44
Coinbase,5f73e55e-0e5b-5847-b8a3-9c84595a5421,USD,USD,BTC,BTC,Sell,0.01170598,69.91,0.0,,2018-07-21,08:05:50
Coinbase,f9762712-df1c-5beb-8adb-bd586a26009f,USD,USD,BTC,BTC,Sell,0.00312024,18.26,0.0,,2018-03-26,17:21:23
Coinbase,2447c039-5f7c-51e6-8c76-19d7f9fa8d32,USD,USD,BTC,BTC,Sell,0.00203756,12.43,0.0,,2018-03-14,16:41:03
Coinbase,0c64a6ec-6af1-5a30-8b81-17206a1169e3,USD,USD,BTC,BTC,Sell,0.00531913,39.07,0.0,,2018-02-25,19:54:03
Coinbase,30c8c734-8b70-5ea6-b5bf-6fc1cfb832b8,USD,USD,BTC,BTC,Sell,0.10486886,4032.69,61.12,,2024-01-28,13:29:22
Coinbase,30c8c734-8b70-5ea6-b5bf-6fc1cfb832b8,USD,USD,ETH,ETH,Buy,1.89230453,4032.67,61.139999999999766,,2024-01-28,13:29:22
Coinbase,888418b6-032c-58b5-baaf-8d0aab93123f,USD,USD,ETH,ETH,Sell,0.02395428,49.21,0.74,,2024-01-28,17:39:59
Coinbase,888418b6-032c-58b5-baaf-8d0aab93123f,USD,USD,SUI,SUI,Buy,39.41976778,49.2,0.750000000000002,,2024-01-28,17:39:59
Coinbase,ddff190d-dbac-5f7d-ad88-6842190b5eb9,USD,USD,ETH,ETH,Sell,0.01199864,24.61,0.37,,2024-01-28,18:27:52
Coinbase,ddff190d-dbac-5f7d-ad88-6842190b5eb9,USD,USD,USDT,USDT,Buy,26.312202,24.6,0.38,,2024-01-28,18:27:52
Coinbase,b82a7e5f-02b6-5a9c-900b-8e2191e94eca,USD,USD,ETH,ETH,Sell,0.02395805,49.22,0.75,,2024-01-28,18:34:09
Coinbase,b82a7e5f-02b6-5a9c-900b-8e2191e94eca,USD,USD,SOL,SOL,Buy,0.550004284,49.22,0.75,,2024-01-28,18:34:09
Coinbase,0a4fdd9e-32a9-5b3b-b7b0-d9c282385acc,USD,USD,ETH,ETH,Sell,0.02343831,49.25,0.73,,2024-01-29,17:35:28
Coinbase,0a4fdd9e-32a9-5b3b-b7b0-d9c282385acc,USD,USD,BLUR,BLUR,Buy,79.77176178,49.239999999999995,0.7399999999999989,,2024-01-29,17:35:28
Coinbase,969c8e9d-25a3-5684-8e5e-e925ada597f5,USD,USD,ETH,ETH,Sell,0.15807129,-331.82,5.02,,2024-01-30,09:17:55
Coinbase,969c8e9d-25a3-5684-8e5e-e925ada597f5,USD,USD,USDT,USDT,Buy,353.677418,-331.83000000000004,5.030000000000012,,2024-01-30,09:17:55
Coinbase,e7d0caf0-2096-5eda-b329-e0733eaaca70,USD,USD,GRT,GRT,Sell,25.23063292,3.73,0.06,,2024-01-30,09:19:20
Coinbase,e7d0caf0-2096-5eda-b329-e0733eaaca70,USD,USD,USDT,USDT,Buy,3.971253,3.72,0.0699999999999999,,2024-01-30,09:19:20
Coinbase,7068a93c-cf30-5f1d-a99e-3afe03785f92,USD,USD,USDT,USDT,Sell,108.925343,-98.43,1.48,,2024-02-02,09:39:37
Coinbase,7068a93c-cf30-5f1d-a99e-3afe03785f92,USD,USD,SEI,SEI,Buy,167.675805,-98.44,1.4899999999999989,,2024-02-02,09:39:37
Coinbase,7ae2d11b-824e-50a6-ae89-574ddd8b7de9,USD,USD,BLUR,BLUR,Sell,79.77176178,-42.19,0.66,,2024-02-03,22:00:28
Coinbase,7ae2d11b-824e-50a6-ae89-574ddd8b7de9,USD,USD,USDT,USDT,Buy,44.837102,-42.190000000000005,0.6600000000000003,,2024-02-03,22:00:28
